route_number,route_name,start_location,end_location,intermediate_stops,morning_departure,evening_departure,bus_type,status
DS-1,Dwarka Sector-6/7 X- ing to Nehru Place(T),Dwarka Sector-6/7 X- ing,Nehru Place(T),"Telephone Exchange Dwarka Sec-6, Dwarka Sec-1/7, Dwarka Gate",8.20,18.05,AC,Active
DS-2,Dwarka Sec-4/5 Xing (Ashirwad Chowk) to CGO Complex (JLN Stadium),Dwarka Sec-4/5 Xing (Ashirwad Chowk),CGO Complex (JLN Stadium),"MadhuVihar,DwarkaSec.-2/6X-ing,J.M.International School",8.15,18.05,AC,Active
DS-3,Dwarka Sector-19 (Pocket-2) to Shastri Bhawan,Dwarka Sector-19 (Pocket-2),Shastri Bhawan,"Dwarka Sec-19/20 X-ing, NHAI Building, Dwarka Court",8.05,18.05,AC,Active
DS-4,DwarkaSector-14(LIG Flat) to Connaught Place (Shivaji Stadium),DwarkaSector-14(LIG Flat),Connaught Place (Shivaji Stadium),"Dwarka Sec-13/14 X-ing, Dwarka Sec-3/13 X-ing, Dwarka Sec-3/4 X-ing",8.20,18.05,AC,Active
DS-5,Rohini Sec-22 to Nehru Place(T),Rohini Sec-22,Nehru Place(T),"Rohini Sec.-21, Rohini Sec-20/21 X-ing, Pooth Kalan",7.55,18.05,AC,Active
DS-6,Rohini Sec-16 to CGO Complex (JLN Stadium),Rohini Sec-16,CGO Complex (JLN Stadium),"Rohini Sec-17, Rohini Sec-11, Rohini Depot-2",8.00,18.05,AC,Active
DS-7,Rohini Sec-23 to Shastri Bhawan,Rohini Sec-23,Shastri Bhawan,"RohiniSec.-23Pkt-3,RohiniSec-23Pkt-2,RohiniSec- 23 Pkt.-1",8.00,18.05,AC,Active
DS-8,Rohini(Avantika) to Connaught Place (Shivaji Stadium),Rohini(Avantika),Connaught Place (Shivaji Stadium),"Avantika X-ing, West Enclave, Keshav Maha Vidyalaya",8.25,18.05,AC,Active
DS-9,Badarpur Border to Nehru Place(T),Badarpur Border,Nehru Place(T),"Rajiv Gandhi Stadium, Prehlad Pur, Suraj Kund X-ing",8.50,18.05,AC,Active
DS-10,Badarpur Border to Krishi Bhawan,Badarpur Border,Krishi Bhawan,"Jait Pur X-ing, Badar Pur, Power House Badar Pur",8.15,18.05,AC,Active
DS-11,Badarpur Border to CGO Complex (JLN Stadium,Badarpur Border,CGO Complex (JLN Stadium,"Jait Pur X-ing, Badar Pur, Power House Badar Pur",8.35,18.05,AC,Active
DS-12,Badarpur Border to Connaught Place(Shivaji Stadium),Badarpur Border,Connaught Place(Shivaji Stadium),"Jait Pur X-ing, Badar Pur, Power House Badar Pur",8.20,18.05,AC,Active
DS-13,Janak Puri B-2 to Nehru Place(T),Janak Puri B-2,Nehru Place(T),"SarvodyaKanyaVidyalaya,DistrictPark,BhartiMahila College",8.15,18.05,AC,Active
DS-14,Janak Puri A-1 to CGO Complex (JLN Stadium),Janak Puri A-1,CGO Complex (JLN Stadium),"Tilak Pul, Jewan Park, C-1 Janak Puri",8.15,18.05,AC,Active
DS-15,Janak Puri C-1 to Shastri Bhawan,Janak Puri C-1,Shastri Bhawan,"C-2 Janak Puri (Punkha Road), Dabri X-ing, Janak Cinema",8.35,18.05,AC,Active
DS-16,Janak Puri C-2 to Connaught Place (Shivaji Stadium),Janak Puri C-2,Connaught Place (Shivaji Stadium),"C-2B Janak Puri, Bharti Mahila College, Virender Nagar",8.40,18.05,AC,Active
DS-17,I P Extantion (Balco Apartment) to Nehru Place(T),I P Extantion (Balco Apartment),Nehru Place(T),"Vijya Laxmi Apartment, Parivar Apartment, Ras Vihar",8.15,18.05,AC,Active
